nome_completo,sexo,cpf,data_nascimento,email,telefone,endereco_cidade,endereco_estado,curso_matricula_aluno,curso_codigo,curso_data_ingresso,curso_data_prevista_conclusao,curso_data_conclusao,curso_situacao_matricula
Theo Pacheco,m,230.957.684-00,1986-08-12,udias@example.net,+55 33 92541-2699,Caldeira,Rondônia,328033,2,2024-01-26,2025-04-06,2025-04-06,ativo
Bento Nunes,m,596.143.872-46,1985-05-27,almeidajade@example.org,+55 38 94269-9671,da Mota de Novaes,Sergipe,524757,5,2023-06-19,2025-10-04,2025-10-04,ativo
Dr. Benjamim Leão,m,413.290.865-89,1987-06-06,nascimentocalebe@example.net,+55 86 96006-4464,Azevedo do Campo,Distrito Federal,817024,5,2024-06-15,2026-02-16,2026-02-16,ativo
Milena Leão,f,312.756.940-80,1993-12-01,ada-conceicao@example.org,+55 57 97741-3702,Machado,Ceará,199426,1,2024-07-19,2025-08-20,2025-08-20,trancado
Yasmin Nunes,f,981.476.320-96,2005-07-02,vasconcelosarthur@example.net,+55 39 92255-8051,Castro,São Paulo,204881,2,2023-09-06,2026-03-26,2026-03-26,ativo
Luiz Otávio Monteiro,m,879.201.364-31,1991-01-21,wnovaes@example.com,+55 36 98392-4859,da Rosa,Sergipe,238533,1,2023-11-14,2025-08-05,2025-08-05,ativo
Sr. Carlos Eduardo Pacheco,m,257.984.601-85,1982-03-26,maria-julianovaes@example.org,+55 91 91671-8432,Viana,Tocantins,218412,2,2023-12-29,2026-06-05,2026-06-05,ativo
Davi Lucas Correia,m,106.238.975-12,1989-03-22,da-conceicaojulia@example.net,+55 44 99156-3839,Camargo,Pará,331919,2,2023-11-11,2026-09-03,2026-09-03,ativo
Vitor Hugo da Mota,m,823.947.516-73,1993-03-04,fgomes@example.org,+55 85 95924-9285,da Costa da Serra,São Paulo,969809,1,2023-02-04,2025-08-27,2025-08-27,ativo
Dr. Otávio Cardoso,m,581.403.796-20,1988-11-15,leaolevi@example.net,+55 88 99850-8092,Vasconcelos,Pernambuco,998669,2,2024-10-01,2026-08-22,2026-08-22,ativo
Fernando Aparecida,m,605.829.714-11,1992-11-28,alexandre46@example.org,+55 71 95126-4420,Santos,Amapá,297366,2,2023-03-15,2025-11-19,2025-11-19,ativo
Sr. Gustavo Melo,m,129.376.480-96,1983-01-09,rfreitas@example.com,+55 47 96245-9093,Santos do Amparo,Bahia,605301,3,2023-06-26,2024-12-12,2024-12-12,ativo
Gabriel Pires,m,961.074.823-69,1981-05-20,diogoalbuquerque@example.org,+55 94 96661-8950,Melo do Oeste,Rio Grande do Sul,900865,3,2024-01-14,2024-12-31,2024-12-31,cancelado
Maria Clara Rodrigues,f,390.547.621-52,2004-07-27,maria-lizsouza@example.net,+55 87 96770-9674,Caldeira,Santa Catarina,381016,2,2024-03-30,2025-06-23,2025-06-23,ativo
Mariane Vasconcelos,f,837.461.590-75,1994-11-28,albuquerqueluana@example.com,+55 11 92182-5281,Cirino,Amazonas,351953,1,2024-01-18,2025-03-25,2025-03-25,ativo
Ravi Rocha,m,908.437.165-84,1983-03-24,sabrina74@example.com,+55 31 94290-6661,Pimenta,Acre,288620,2,2023-06-12,2026-12-06,2026-12-06,ativo
Sr. Davi Lucca Pastor,m,164.257.809-67,2004-04-05,evelyn99@example.net,+55 21 94026-8926,Ribeiro,Pernambuco,426660,5,2023-03-06,2025-10-21,2025-10-21,ativo
Isadora Montenegro,f,524.189.670-85,2005-07-23,oliveirakaique@example.com,+55 73 98337-4482,da Luz,Minas Gerais,574515,5,2024-01-12,2025-10-27,2025-10-27,trancado
Marcelo da Cruz,m,026.784.935-47,2003-08-23,jpimenta@example.org,+55 27 93368-9270,Rezende de Minas,Goiás,462166,4,2023-11-16,2025-09-19,2025-09-19,ativo
Aylla Santos,f,172.508.693-02,2000-08-19,da-cunhavalentim@example.net,+55 91 95993-8494,Sampaio,Rio de Janeiro,909448,4,2023-02-09,2025-12-26,2025-12-26,ativo
Ana Clara Nunes,f,530.942.861-51,1999-03-28,carvalholara@example.org,+55 31 99015-8303,Rocha,Ceará,483280,3,2024-05-02,2026-09-24,2026-09-24,trancado
Isaque Nogueira,m,851.620.374-35,1992-07-09,isabela90@example.com,+55 53 94226-9568,Santos de Santos,Tocantins,945352,1,2024-10-06,2025-05-20,2025-05-20,ativo
Dra. Rafaela Gonçalves,f,207.539.641-80,2004-06-06,silveirabryan@example.net,+55 86 98334-9684,Ribeiro,Paraná,205533,2,2024-07-17,2026-04-29,2026-04-29,ativo
Maria Luiza Siqueira,f,895.460.217-76,1982-12-26,joaquim92@example.com,+55 76 93579-7949,Pacheco,Amapá,349656,4,2024-05-12,2026-10-27,2026-10-27,ativo
Cecília Barros,f,417.652.093-07,1992-07-01,miguelbrito@example.org,+55 30 99752-2109,Cardoso da Praia,Acre,812196,1,2023-06-12,2025-08-17,2025-08-17,ativo
José Ramos,m,985.034.271-41,1999-04-29,mariane38@example.com,+55 39 99653-4696,Cirino,Mato Grosso,818007,5,2024-01-17,2025-01-03,2025-01-03,ativo
Miguel Pimenta,m,894.351.620-70,1991-07-19,mcastro@example.com,+55 15 96019-4274,Almeida,Ceará,389056,1,2023-10-15,2025-10-05,2025-10-05,ativo
Dra. Luna Duarte,f,047.812.356-62,1987-03-11,macedogabriel@example.org,+55 95 91449-2763,Cardoso,Distrito Federal,515766,5,2024-10-08,2026-05-01,2026-05-01,ativo
Alana Moreira,f,624.509.317-16,2001-01-09,cecilia99@example.org,+55 92 91596-9790,Martins de Goiás,Mato Grosso do Sul,244927,1,2024-08-27,2026-04-23,2026-04-23,ativo
Bruno da Mata,m,319.628.074-87,1986-11-19,samuel05@example.org,+55 95 92497-8664,Moreira,São Paulo,382859,1,2024-08-22,2026-03-10,2026-03-10,ativo
Danilo Moreira,m,710.369.854-66,1997-11-01,lunacunha@example.com,+55 61 91009-2470,da Rosa da Prata,Roraima,457834,2,2023-06-24,2025-07-01,2025-07-01,ativo
Emilly Fogaça,f,027.683.491-78,1988-12-02,mariahgarcia@example.net,+55 18 92966-8203,Duarte,Sergipe,395099,5,2023-01-09,2026-01-25,2026-01-25,cancelado
Dra. Sara Cavalcanti,f,584.013.279-97,1998-12-04,ian05@example.com,+55 37 97542-7603,da Mota do Campo,Alagoas,250464,3,2023-09-11,2026-07-24,2026-07-24,ativo
Letícia Câmara,f,180.295.743-04,1981-01-09,giovanna52@example.com,+55 60 94381-9283,Gomes,Espírito Santo,805271,1,2024-05-05,2025-02-04,2025-02-04,ativo
Nicole Marques,f,280.751.649-11,1998-02-08,lunna96@example.com,+55 89 92806-9343,Silveira,Rio Grande do Norte,741739,1,2024-08-14,2025-06-03,2025-06-03,ativo
Alexandre Rezende,m,460.738.591-39,1998-03-22,melohellena@example.org,+55 60 95843-6023,Teixeira,Espírito Santo,803360,3,2023-11-24,2025-08-05,2025-08-05,ativo
Sr. Davi Lucca Lima,m,701.896.432-69,1999-08-29,lopesluan@example.org,+55 46 96841-6337,Pires das Flores,Rio de Janeiro,815239,5,2023-03-07,2025-02-22,2025-02-22,ativo
Helena Rocha,f,758.624.319-00,1987-07-11,novaismaria-flor@example.org,+55 22 97884-7003,Novaes,Tocantins,465814,5,2024-01-08,2026-01-21,2026-01-21,trancado
Ana Júlia Ferreira,f,938.506.742-74,1999-09-03,ana-luizasouza@example.net,+55 27 93256-8477,Cunha,Goiás,559702,4,2024-03-16,2026-11-19,2026-11-19,ativo
Enrico Correia,m,892.306.415-70,2000-12-27,fcamara@example.com,+55 25 97987-4171,Duarte do Galho,São Paulo,573246,1,2024-02-15,2025-10-20,2025-10-20,ativo
Calebe Ribeiro,m,849.610.753-10,1991-08-04,maria-isis48@example.org,+55 38 98213-4005,Lopes de Caldeira,Distrito Federal,947670,3,2023-06-22,2026-08-15,2026-08-15,ativo
Fernando Araújo,m,546.827.391-82,2000-02-21,isabel90@example.org,+55 64 99504-7057,Barros das Flores,Rio Grande do Sul,609696,5,2023-10-08,2026-02-17,2026-02-17,ativo
Luiz Henrique Sousa,m,260.891.374-13,1984-11-15,aparecidaapollo@example.com,+55 39 95631-6760,Costela Paulista,Mato Grosso,550652,4,2023-05-07,2025-08-31,2025-08-31,ativo
Benício Carvalho,m,156.798.402-94,1992-07-28,qoliveira@example.org,+55 36 92057-4385,da Mata da Mata,Rio Grande do Norte,405284,5,2024-03-15,2026-03-13,2026-03-13,ativo
João Felipe Pimenta,m,827.306.194-96,1996-02-12,eramos@example.org,+55 56 95708-3462,Cardoso das Pedras,Rio Grande do Sul,963761,2,2023-07-15,2026-10-28,2026-10-28,ativo
Sr. Yago Campos,m,520.471.986-58,1984-05-11,britoisabella@example.com,+55 20 96523-1548,Rocha das Pedras,Rondônia,812705,3,2023-08-26,2026-06-10,2026-06-10,ativo
Arthur Vargas,m,438.169.572-00,2000-09-03,miguelvieira@example.net,+55 10 93742-2631,Câmara,Rio de Janeiro,650843,2,2023-09-03,2025-04-28,2025-04-28,ativo
Ian Cassiano,m,581.406.327-08,1985-11-16,daniel45@example.com,+55 90 97265-3602,Borges,Maranhão,941748,5,2024-05-27,2025-01-27,2025-01-27,ativo
Enzo Gabriel Rodrigues,m,278.569.143-19,1989-11-20,nina65@example.org,+55 45 94193-1059,Sales,Espírito Santo,903004,1,2023-12-22,2025-05-11,2025-05-11,ativo
Ana Clara Araújo,f,093.257.614-16,1991-01-05,monteiroana-cecilia@example.com,+55 65 99311-2577,Lima,Rio Grande do Sul,432880,2,2023-11-28,2026-10-14,2026-10-14,ativo
Otto Sousa,m,678.342.901-69,2004-10-11,maria-laurapastor@example.com,+55 46 94335-2578,Cavalcante das Pedras,Sergipe,519312,5,2024-01-18,2025-05-04,2025-05-04,ativo
Dr. Arthur Gabriel Monteiro,m,402.386.971-69,2003-06-09,raelporto@example.org,+55 77 93383-2979,Moraes de Minas,Espírito Santo,872286,1,2023-06-26,2025-02-01,2025-02-01,ativo
Yan Correia,m,297.084.153-32,1989-05-26,mourathales@example.org,+55 58 91490-1777,da Mata dos Dourados,Mato Grosso do Sul,367766,2,2023-03-25,2026-10-28,2026-10-28,ativo
Catarina Freitas,f,692.314.780-87,2005-05-21,henry-gabriel08@example.com,+55 87 99050-7403,Macedo de Mendonça,Amazonas,116719,3,2023-04-29,2026-01-03,2026-01-03,ativo
Esther Vasconcelos,f,394.207.851-14,2000-02-06,opacheco@example.net,+55 43 93829-1250,Melo de Pinto,Maranhão,168697,2,2024-06-24,2026-01-24,2026-01-24,ativo
Pietro Viana,m,973.156.824-73,1994-12-14,ravy66@example.org,+55 26 95674-9416,Barbosa de Minas,Ceará,534565,1,2023-02-12,2024-12-07,2024-12-07,ativo
Manuella Cavalcanti,f,768.301.259-95,1998-09-01,bsampaio@example.org,+55 80 92556-5114,Ribeiro,Acre,188109,4,2024-06-21,2025-04-30,2025-04-30,ativo
Sr. José Pedro Guerra,m,028.156.497-30,2005-12-30,mda-rocha@example.org,+55 16 91721-7357,Brito de Gomes,Maranhão,267806,4,2023-03-07,2026-04-22,2026-04-22,ativo
Luana Pereira,f,902.815.736-03,1990-11-20,vdias@example.net,+55 48 93944-4714,Pastor,Maranhão,639663,2,2023-11-07,2026-10-03,2026-10-03,ativo
Melina Novaes,f,509.842.317-14,1984-07-06,yasminsouza@example.org,+55 57 93467-8641,Vasconcelos da Serra,Piauí,168601,4,2023-04-16,2026-03-30,2026-03-30,ativo
Gustavo Henrique Araújo,m,578.901.624-30,2001-07-08,ravi-luccada-mata@example.org,+55 62 97167-3910,Ribeiro dos Dourados,São Paulo,982387,3,2024-07-21,2026-01-16,2026-01-16,ativo
Pietro Pereira,m,628.709.315-30,1986-06-07,silvamaria-julia@example.com,+55 95 97325-5322,da Luz de Sampaio,Ceará,220502,2,2024-01-09,2025-08-21,2025-08-21,cancelado
Lara Câmara,f,187.034.952-05,2001-07-19,luiz-henriquemendonca@example.net,+55 66 93397-8200,Souza,São Paulo,131997,4,2023-06-04,2025-04-18,2025-04-18,ativo
Luan Brito,m,607.594.283-10,1996-05-16,joao-lucas47@example.net,+55 89 96821-4733,Pires,Amazonas,966097,2,2024-01-27,2026-06-11,2026-06-11,ativo
Levi da Cunha,m,910.572.436-80,1990-03-31,jmoura@example.net,+55 24 99225-9694,Leão,Espírito Santo,603553,5,2024-07-18,2025-06-08,2025-06-08,ativo
Heitor Caldeira,m,125.460.978-49,1990-11-10,vitor21@example.net,+55 64 93677-9980,Rodrigues do Galho,Alagoas,789500,5,2024-07-04,2026-04-19,2026-04-19,ativo
Vitor Gabriel da Cunha,m,293.084.167-22,1984-01-05,emilly25@example.org,+55 31 94150-7907,Cunha,Tocantins,394969,1,2024-01-24,2025-07-04,2025-07-04,cancelado
Melissa Castro,f,804.316.975-66,1995-11-13,luigi09@example.net,+55 82 99129-3897,Fonseca,Mato Grosso do Sul,602145,1,2024-08-18,2025-08-06,2025-08-06,ativo
Maria Eduarda Gonçalves,f,617.892.045-85,1997-09-06,cardosorebeca@example.com,+55 49 96741-1230,Silveira do Amparo,Mato Grosso do Sul,663025,1,2023-10-05,2026-01-18,2026-01-18,ativo
João Miguel Almeida,m,413.860.957-10,1987-06-28,pedro-miguelpereira@example.org,+55 18 93885-1482,Macedo,Rio de Janeiro,962522,1,2024-08-17,2026-04-01,2026-04-01,ativo
Pietro Brito,m,694.317.082-13,2001-12-29,evelynmelo@example.com,+55 32 92823-3923,Alves do Galho,Tocantins,702829,1,2023-08-14,2025-07-25,2025-07-25,ativo
Brenda Moraes,f,986.572.301-86,2001-07-02,benjamim71@example.org,+55 32 99335-2880,Castro de da Conceição,Tocantins,525301,1,2023-02-17,2026-04-20,2026-04-20,ativo
João Miguel Gomes,m,017.289.534-05,1996-09-22,lferreira@example.net,+55 16 97153-7099,Jesus da Prata,Piauí,328798,4,2023-04-06,2025-04-07,2025-04-07,ativo
Ana Lívia Sales,f,068.512.397-95,1992-09-08,sampaioluisa@example.org,+55 28 96113-4384,da Mata do Oeste,Acre,849335,2,2023-08-31,2026-01-02,2026-01-02,ativo
Ana Luiza Vargas,f,580.914.673-20,1987-05-31,vitor-gabrielmelo@example.com,+55 49 93140-1470,Moura Verde,Pernambuco,988494,5,2023-01-02,2026-07-07,2026-07-07,ativo
Olivia Duarte,f,581.492.730-50,1993-07-29,borgesoliver@example.net,+55 33 98085-4157,Farias,Minas Gerais,155306,2,2024-05-10,2025-04-05,2025-04-05,ativo
Maria Abreu,f,651.820.347-17,2005-09-25,enzo-gabrielsantos@example.com,+55 11 99584-8752,Moraes de Azevedo,Amazonas,885524,2,2023-12-26,2025-06-07,2025-06-07,ativo
Dr. Eduardo Monteiro,m,539.420.781-04,2003-02-20,yan14@example.com,+55 34 98638-3281,Garcia,Paraná,746993,3,2023-12-13,2026-04-29,2026-04-29,ativo
Esther Moura,f,259.463.178-73,1991-07-31,heloisa99@example.com,+55 76 93174-8809,Sales das Flores,Amazonas,586343,4,2023-09-18,2026-11-27,2026-11-27,ativo
Cecilia Martins,f,103.467.589-39,1994-03-28,jmendonca@example.net,+55 56 91269-1733,da Luz,Roraima,842912,4,2023-03-31,2026-04-27,2026-04-27,trancado
Dra. Maria Cecília da Cunha,f,759.086.342-47,2001-04-17,gabriel77@example.com,+55 54 98068-2937,Silveira de Fernandes,Minas Gerais,898074,2,2024-06-15,2025-09-16,2025-09-16,ativo
Maria Eduarda Melo,f,562.973.801-12,1992-04-05,piresjuan@example.net,+55 55 92291-7803,da Rosa,Mato Grosso do Sul,290839,3,2023-09-02,2026-09-28,2026-09-28,ativo
Igor das Neves,m,719.203.586-68,1982-02-18,monteiromaria-eduarda@example.com,+55 21 95228-5294,da Mata,Minas Gerais,805739,2,2024-04-22,2026-02-01,2026-02-01,ativo
Milena Pires,f,285.316.407-17,1996-01-19,arthur-gabriel94@example.net,+55 68 96943-6526,Araújo,Mato Grosso do Sul,360798,5,2023-09-15,2025-05-31,2025-05-31,ativo
Dr. Vicente Siqueira,m,310.728.694-03,2002-07-02,gmartins@example.com,+55 19 91390-7556,Pereira do Norte,Sergipe,323815,3,2024-02-27,2025-07-04,2025-07-04,cancelado
Leandro Vasconcelos,m,642.903.851-33,2003-06-01,vguerra@example.org,+55 30 92236-3911,Pereira,Amazonas,255296,1,2024-04-11,2025-10-13,2025-10-13,ativo
Dr. Luiz Otávio Rezende,m,058.371.462-53,1991-09-11,mrodrigues@example.net,+55 47 94967-7533,Montenegro,Alagoas,689733,5,2023-07-28,2026-10-07,2026-10-07,ativo
Milena Dias,f,392.504.817-05,1987-08-28,bsantos@example.com,+55 54 98226-7337,Almeida Paulista,Sergipe,491338,1,2024-10-11,2026-06-03,2026-06-03,ativo
Mathias Viana,m,648.917.352-28,1994-01-31,francisco07@example.com,+55 40 94929-5380,Santos,Roraima,843420,2,2024-02-16,2024-12-06,2024-12-06,ativo
Antony Marques,m,850.132.647-07,1980-03-04,jose-pedroporto@example.com,+55 52 99934-8843,Rocha da Mata,Rio Grande do Norte,482519,4,2023-04-27,2025-09-09,2025-09-09,ativo
Lívia Sá,f,730.492.851-41,2003-04-17,estermonteiro@example.org,+55 79 92935-4713,Pereira Alegre,Rondônia,110251,2,2023-03-21,2025-07-11,2025-07-11,ativo
Dr. Nathan Leão,m,409.356.187-75,1987-07-20,lorenzomoraes@example.com,+55 23 94542-3694,Teixeira de das Neves,Minas Gerais,334674,1,2023-11-20,2025-05-23,2025-05-23,ativo
Léo Correia,m,360.798.154-00,1983-02-23,qvargas@example.org,+55 16 99406-1509,Vasconcelos das Flores,Maranhão,476589,3,2024-04-09,2026-08-11,2026-08-11,ativo
Heloísa Oliveira,f,329.458.716-37,1991-07-10,caroline55@example.com,+55 84 94195-2171,Souza Verde,Mato Grosso do Sul,973512,2,2023-04-23,2026-01-19,2026-01-19,ativo
Isis Gonçalves,f,524.096.871-30,1985-01-22,andre97@example.com,+55 31 93215-9835,Ferreira do Oeste,Santa Catarina,346910,1,2024-04-17,2026-09-26,2026-09-26,ativo
Dr. Miguel Borges,m,409.671.583-20,2001-03-24,lguerra@example.net,+55 71 91252-9742,Sampaio do Sul,Amazonas,523928,4,2024-04-25,2026-03-02,2026-03-02,trancado
Marcela Pinto,f,603.917.528-12,1999-08-23,isabelly77@example.com,+55 81 97380-7686,da Mata,Tocantins,274506,3,2024-03-02,2025-10-01,2025-10-01,ativo
Emanuelly Duarte,f,042.856.739-83,1980-01-16,dcarvalho@example.com,+55 84 95160-5930,Garcia,Tocantins,736417,5,2023-11-08,2025-07-02,2025-07-02,ativo
Sofia Alves,f,206.981.453-05,1983-11-18,anthonymachado@example.net,+55 60 97442-2534,Macedo,São Paulo,620945,3,2024-02-29,2026-08-12,2026-08-12,ativo
Nina da Cunha,f,718.350.496-48,2000-02-19,dlopes@example.net,+55 41 91383-4763,Souza,Pernambuco,650401,5,2024-04-14,2025-08-12,2025-08-12,ativo
Pietra Martins,f,475.803.619-57,1981-10-11,ravi-luccacavalcanti@example.com,+55 49 94430-6399,Pastor,Pará,534370,1,2024-06-22,2025-04-21,2025-04-21,ativo
Vinicius Vasconcelos,m,529.610.748-94,1983-03-12,salesisabelly@example.org,+55 88 95907-6830,Porto da Praia,Bahia,671494,5,2024-06-22,2025-03-13,2025-03-13,ativo
Sra. Sophia Alves,f,631.495.782-64,1990-10-27,luiz-felipebarros@example.com,+55 43 94653-4395,Fogaça da Serra,Piauí,503165,4,2024-09-11,2026-10-08,2026-10-08,ativo
Lorena da Rosa,f,410.295.386-89,1989-09-28,lorenacastro@example.com,+55 90 99684-8467,Câmara de Lopes,Distrito Federal,851942,2,2023-08-15,2025-06-17,2025-06-17,trancado
Dra. Laís Jesus,f,743.259.860-65,1985-09-17,cavalcantigabrielly@example.org,+55 85 98249-5362,Pimenta de Costela,Alagoas,177650,3,2023-06-14,2026-05-01,2026-05-01,ativo
Kevin Fogaça,m,170.395.864-01,1983-02-11,ngoncalves@example.com,+55 10 99798-5083,Cunha do Oeste,Goiás,515408,5,2024-01-28,2025-04-18,2025-04-18,ativo
Sara da Rosa,f,540.731.296-43,2000-03-27,vargasmanuela@example.net,+55 55 94050-6019,da Cruz,Tocantins,715658,2,2023-02-25,2026-10-06,2026-10-06,ativo
Dr. Thiago Farias,m,479.621.805-01,1997-11-15,ksilva@example.net,+55 54 98537-5849,Azevedo da Mata,São Paulo,480202,5,2024-03-03,2025-07-13,2025-07-13,ativo
Lara Sales,f,524.897.013-04,1986-01-25,ana-beatriz51@example.org,+55 19 92709-2860,Vieira de Silva,São Paulo,710218,3,2024-08-05,2026-02-07,2026-02-07,ativo
Valentina Albuquerque,f,215.396.084-33,1996-11-19,albuquerqueraul@example.net,+55 64 94504-2423,Teixeira da Prata,Pernambuco,786545,3,2024-03-15,2025-11-15,2025-11-15,ativo
Nicolas das Neves,m,940.652.813-42,1983-10-06,araujomaria@example.net,+55 38 91988-3967,Nunes,Acre,110754,2,2024-05-22,2025-12-02,2025-12-02,ativo
Ana Luiza Guerra,f,610.843.257-80,1997-10-25,antony22@example.org,+55 31 95398-5804,Oliveira de Carvalho,Mato Grosso do Sul,739916,1,2024-01-19,2026-12-29,2026-12-29,ativo
Thomas Silveira,m,453.796.801-00,2001-01-29,costelapietro@example.org,+55 24 99697-1231,Souza do Oeste,Alagoas,654286,1,2023-11-29,2026-08-30,2026-08-30,ativo
Pietra da Paz,f,716.034.529-07,1989-04-25,caraujo@example.org,+55 80 99887-8282,Cirino,Pernambuco,611952,1,2023-01-29,2025-02-27,2025-02-27,trancado
Dr. Igor da Mata,m,791.485.623-19,2005-05-03,montenegroheitor@example.org,+55 83 92293-7055,Barros de Montenegro,Paraná,323254,5,2023-10-27,2024-12-29,2024-12-29,ativo
Diogo Cassiano,m,760.413.529-34,2002-01-02,laviniacavalcanti@example.org,+55 78 97569-5249,Cunha do Campo,Minas Gerais,166010,4,2024-04-21,2025-10-22,2025-10-22,ativo
Pietro da Costa,m,213.960.458-05,1990-11-10,enzo-gabrielaragao@example.com,+55 77 95367-6142,Andrade da Serra,Rio Grande do Norte,813027,1,2023-04-10,2026-07-17,2026-07-17,ativo
Dra. Evelyn Nunes,f,403.718.625-07,1992-11-20,bsa@example.com,+55 68 95911-4784,da Mata,Santa Catarina,160567,2,2023-01-13,2024-12-16,2024-12-16,ativo
Theodoro Teixeira,m,308.245.769-00,1993-02-23,manuela75@example.org,+55 73 95919-7677,Marques do Oeste,Paraíba,758042,4,2023-11-16,2025-09-08,2025-09-08,ativo
Maria Alice Rios,f,439.287.506-74,2003-11-11,maria-juliada-mata@example.net,+55 34 94706-7855,da Conceição,Paraíba,623026,1,2023-10-15,2025-11-09,2025-11-09,ativo
Heloísa Albuquerque,f,216.497.058-67,1992-10-13,ribeiroerick@example.com,+55 72 99200-2298,Moraes da Prata,Goiás,172057,3,2023-10-08,2026-09-23,2026-09-23,ativo
Ana Vitória Costela,f,598.016.472-30,1984-07-08,jbrito@example.net,+55 65 98609-2395,Barros dos Dourados,Pará,975464,4,2023-03-06,2026-06-26,2026-06-26,ativo
Dra. Luísa Garcia,f,951.308.247-41,1982-11-02,vitor-gabrielsiqueira@example.net,+55 85 92529-5424,Fonseca de Ramos,Minas Gerais,438566,3,2023-10-16,2026-08-30,2026-08-30,ativo
Brenda Ramos,f,092.381.567-86,1993-07-29,marqueslucas-gabriel@example.org,+55 94 95971-6632,Pinto de Lopes,Maranhão,196012,1,2023-01-27,2025-02-17,2025-02-17,ativo
Dr. Henrique Brito,m,381.209.675-77,1991-11-30,bguerra@example.org,+55 91 92231-5761,Pinto,Rondônia,637385,5,2023-09-07,2025-09-05,2025-09-05,ativo
Pedro Lucas Farias,m,058.697.241-20,1986-06-03,pedro-henriquejesus@example.com,+55 68 99772-3237,da Cruz,Acre,368632,1,2023-04-30,2025-07-16,2025-07-16,ativo
Marcelo Machado,m,982.365.714-91,1987-07-23,elopes@example.org,+55 71 98308-5966,Peixoto do Oeste,Alagoas,151961,2,2023-09-13,2025-10-25,2025-10-25,ativo
Francisco da Conceição,m,790.642.185-01,1995-05-03,lara22@example.net,+55 70 91459-4608,Rios das Flores,Goiás,747261,4,2024-02-23,2025-04-12,2025-04-12,ativo
Maria Alice Santos,f,283.017.645-62,2002-07-15,rebecapeixoto@example.net,+55 30 96515-7907,Silveira,Acre,862982,2,2023-02-11,2025-12-31,2025-12-31,ativo
Gabrielly Pinto,f,473.152.809-79,1980-06-14,yferreira@example.org,+55 75 99218-7150,Rios Alegre,Rio Grande do Norte,192938,5,2023-12-03,2026-11-26,2026-11-26,ativo
Bárbara Azevedo,f,184.357.620-17,1992-12-23,cmachado@example.com,+55 63 95197-4876,Casa Grande,Pará,213623,1,2024-05-27,2026-05-30,2026-05-30,trancado
Davi Lucas Teixeira,m,326.189.475-09,1995-09-14,alexandre32@example.org,+55 63 94868-3695,Aragão,Rio de Janeiro,307396,5,2023-06-05,2025-12-11,2025-12-11,ativo
Elisa Mendes,f,348.512.069-33,1989-07-02,davimartins@example.org,+55 39 99123-3681,Castro da Serra,Acre,861182,2,2023-05-09,2025-02-02,2025-02-02,ativo
Kamilly Viana,f,298.745.061-30,1983-02-10,gpastor@example.com,+55 79 91080-2312,Cardoso de da Rosa,Espírito Santo,324777,1,2024-01-17,2026-04-13,2026-04-13,trancado
Valentina Brito,f,694.318.572-19,1980-05-22,teixeiralarissa@example.org,+55 73 96288-3559,Abreu,Paraná,710648,5,2024-07-24,2026-11-25,2026-11-25,ativo
Breno Fernandes,m,814.752.936-82,1983-11-30,camargoantony@example.com,+55 82 91398-4410,Monteiro,Rio Grande do Sul,370369,3,2024-08-25,2025-06-15,2025-06-15,cancelado
Ana Liz da Mota,f,743.610.295-80,1995-09-16,peixotojulia@example.org,+55 22 99597-5789,Farias,Bahia,416107,5,2023-03-11,2026-11-23,2026-11-23,ativo
Cecília Sales,f,965.721.483-19,1990-01-15,maria-eduarda85@example.com,+55 29 97213-4960,Fernandes da Mata,Rio Grande do Sul,298029,1,2024-01-14,2025-08-28,2025-08-28,ativo
Enzo Brito,m,804.519.732-32,1997-01-06,ana-juliacunha@example.com,+55 65 94608-5146,Rodrigues das Flores,Amapá,289515,2,2023-04-17,2026-01-03,2026-01-03,ativo
Oliver Pimenta,m,190.235.876-77,1991-09-28,salescarolina@example.net,+55 11 96684-3843,Rocha de Barros,Distrito Federal,762811,5,2024-05-12,2025-11-29,2025-11-29,cancelado
Noah Freitas,m,264.098.351-24,2003-05-29,gfogaca@example.net,+55 67 99640-6431,Rios,Acre,796308,4,2023-03-12,2026-12-27,2026-12-27,ativo
Dra. Isabel Dias,f,405.678.231-80,1996-02-06,valentinasilva@example.net,+55 14 92491-4202,Jesus do Campo,Espírito Santo,352438,3,2023-10-06,2025-09-28,2025-09-28,ativo
Dante da Cunha,m,804.265.137-62,1995-06-21,hcampos@example.org,+55 36 96398-1148,Monteiro,Distrito Federal,674499,1,2023-02-01,2025-10-09,2025-10-09,trancado
Leonardo Pacheco,m,791.658.043-84,1986-02-11,kramos@example.com,+55 81 92717-8865,Cardoso do Galho,Paraíba,276650,2,2024-08-14,2026-10-04,2026-10-04,ativo
Dom Barbosa,m,057.329.486-00,1992-04-14,ravinascimento@example.org,+55 28 95642-6100,Cavalcante,Piauí,157643,3,2023-01-01,2024-12-12,2024-12-12,ativo
Evelyn Gomes,f,624.897.310-50,1989-08-05,hellena62@example.com,+55 95 94565-8991,Martins do Amparo,Rio Grande do Norte,288804,3,2023-09-29,2025-12-09,2025-12-09,trancado
Clara Aparecida,f,906.152.837-21,2005-05-02,natalialopes@example.org,+55 27 95215-9627,Sampaio,Goiás,729490,5,2023-09-13,2025-05-10,2025-05-10,ativo
Arthur Freitas,m,807.429.531-14,2004-05-07,saracamara@example.com,+55 50 98783-3340,Cavalcanti,Ceará,658265,1,2024-08-30,2026-07-25,2026-07-25,ativo
